Activation,Final (ms),Mean (ms),Std (ms),Min (ms),Max (ms),Epochs
ELU,0.4620,0.4818,0.0393,0.3872,0.6311,90
GELU,0.4017,0.4428,0.0571,0.3481,0.6060,90
LeakyReLU,0.4665,0.4485,0.0483,0.3526,0.5589,90
Mish,0.3538,0.3882,0.0397,0.3330,0.6331,90
ReLU,0.4733,0.4844,0.0677,0.3605,0.6865,90
SiLU,0.3614,0.4746,0.0571,0.3614,0.6738,90
Sigmoid,0.4476,0.4855,0.0453,0.4035,0.6366,90
Tanh,0.4626,0.5078,0.0719,0.4183,0.9673,90
