Activation,Final (ms),Mean (ms),Std (ms),Min (ms),Max (ms),Epochs
ELU,0.1034,0.1028,0.0008,0.1011,0.1044,50
GELU,0.0988,0.0985,0.0015,0.0963,0.1065,50
LeakyReLU,0.1048,0.1040,0.0007,0.1022,0.1058,50
Mish,0.0973,0.0985,0.0008,0.0969,0.1007,50
ReLU,0.1098,0.1092,0.0013,0.1071,0.1162,50
SiLU,0.0978,0.0983,0.0008,0.0972,0.1012,50
Sigmoid,0.1023,0.1023,0.0009,0.1005,0.1042,50
Tanh,0.1029,0.1039,0.0013,0.1020,0.1080,50
