epoch,layer_1,layer_2,layer_3,layer_4,total_time
0,0.03641622584532289,0.02200003765961703,0.02037473882165025,0.0199971388061257,0.09878814113271586
1,0.036303472987869206,0.021920752943876912,0.020536357661818758,0.01992297413156313,0.098683557725128
2,0.03695254583569134,0.02188724706716397,0.020177769433049594,0.01990998591789428,0.09892754825379918
3,0.03620175055063823,0.02181455058648306,0.02010416938101544,0.020199303574421828,0.09831977409255856
4,0.036061891749062956,0.02186962825629641,0.020491858817198696,0.019996875294429416,0.09842025411698749
5,0.03595998120877673,0.0218389458757113,0.019955877657322322,0.01970187293475165,0.09745667767656199
6,0.03631314818473423,0.021676837655113024,0.020056094124036677,0.020181684700005195,0.09822776466388913
7,0.03614087538026711,0.02185046586262829,0.02049938823589507,0.019899030612672078,0.09838976009146255
8,0.03646968473844668,0.021814964689752636,0.020039604713811592,0.020285364698399515,0.09860961884041043
9,0.03689231060445309,0.022027218832689172,0.020440658823970486,0.01997519059216275,0.09933537885327551
10,0.03680696468581172,0.02260280472390792,0.02052574118489728,0.020750079976723474,0.10068559057134038
11,0.036318644688409916,0.021853515277890596,0.02019459765185328,0.020059143510811468,0.09842590112896525
12,0.03710930821211899,0.02248545881579904,0.020995312948875567,0.020653515274033828,0.10124359525082743
13,0.03664180709816077,0.022102851766873807,0.020209242377211067,0.019801750568782583,0.09875565181102823
14,0.036316047093885785,0.02205417411073166,0.02019346822053194,0.01986669179271249,0.09843038121786188
15,0.035714522343786324,0.02187595293364104,0.020916894089211435,0.019678080035921405,0.0981854494025602
16,0.035964235277736886,0.02223299763220198,0.020569938866092877,0.02002970351892359,0.09879687529495533
17,0.03608417885706705,0.02198840471532415,0.020391378832214018,0.020109515290926486,0.09857347769553171
18,0.03612705883734366,0.021819030561429614,0.020307124719461975,0.019952640011906622,0.09820585413014188
19,0.036265637635746424,0.02195309172877494,0.020284498859854304,0.019731877689414163,0.09823510591378982
20,0.03638087531442152,0.021955764723174714,0.020177468212650103,0.020223359969608924,0.09873746821985524
21,0.03619256474515971,0.02176101649289622,0.0201946729487356,0.019759887095321626,0.09790814128211316
22,0.036423680030686016,0.02193761884508764,0.02032978827462477,0.02016628705403384,0.09885737420443226
23,0.03630912003709989,0.02195215057143394,0.02026992941603941,0.019698145902332136,0.09822934592690538
24,0.03579768473392024,0.021731990571407712,0.01997737416449715,0.019869138824150843,0.09737618829397594
25,0.03589010818697074,0.022138578826013732,0.020067727068329558,0.020034898826304604,0.09813131290761863
26,0.036067463518942106,0.021839171748827487,0.020089148250134553,0.019822607038213928,0.09781839055611807
27,0.036293044635916455,0.021546240001916885,0.020192188274334458,0.019744640010244705,0.0977761129224125
28,0.0361970823696431,0.021717684702838167,0.019916310601812953,0.01984214588342344,0.09767322355771765
29,0.03647213173920617,0.02230061176726047,0.020024997648947378,0.019737411752781448,0.09853515290819546
30,0.035900498865281835,0.0215411199870355,0.02014358590083087,0.01992914823048255,0.09751435298363076
31,0.035920715360518767,0.021719755339710153,0.02018416941165924,0.019694456469048473,0.09751909658093663
32,0.035886418839149614,0.021725703558939345,0.02013718590797747,0.019764065878356205,0.09751337418442263
33,0.0363238399804515,0.021521731770652183,0.019962541173924417,0.019907350594944813,0.0977154635199729
34,0.03583247063352781,0.021556668248684966,0.01985276236472761,0.01991518119459643,0.09715708244153681
35,0.03589601879829869,0.021710945869631626,0.020425185883308158,0.019732404723763464,0.09776455527500194
36,0.03589978354599546,0.021765270581578507,0.01997835294727017,0.01973519057911985,0.09737859765396399
37,0.03629089879858143,0.021876367115799118,0.020185825859799104,0.019605383517987587,0.09795847529216724
38,0.03612615531639141,0.021756310579093063,0.019939576507929494,0.01989455058513319,0.09771659298854715
39,0.03635252704515177,0.02167213175445795,0.020143623507636436,0.019824489420827696,0.09799277172807384
40,0.036430983552161386,0.021837665885686874,0.020627538824782653,0.019982343506725394,0.09887853176935632
41,0.035871284726788015,0.021692084716085126,0.020312432962305407,0.01999115296146449,0.09786695536664304
42,0.036212705882156596,0.021890447043320712,0.020305016511941658,0.0200085458729197,0.09841671531033866
43,0.03610529878998504,0.021842861197450582,0.020275727069991475,0.01995568942936028,0.09817957648678738
44,0.03636382120277952,0.021794559977510397,0.020317176486201145,0.020017355323276097,0.09849291298976716
45,0.03621978352613309,0.022165458824704675,0.020202051789006765,0.020640489430550267,0.0992277835703948
46,0.03599058816538137,0.02167604704770972,0.020101232960381927,0.02004333177471862,0.09781119994819164
47,0.03637135053601335,0.02180931762299117,0.02062701179700739,0.01999503060737077,0.09880271056338269
48,0.0359353224122349,0.021556781184147385,0.01995689412469373,0.01988732236492283,0.09733632008599884
49,0.03639759056708392,0.021540705896914005,0.02004743532880264,0.019851708241245325,0.09783744003404589
