epoch,main_activation,layer1_block0_activation1,layer1_block0_activation2,layer1_block1_activation1,layer1_block1_activation2,layer2_block0_activation1,layer2_block0_activation2,layer2_block1_activation1,layer2_block1_activation2,layer3_block0_activation1,layer3_block0_activation2,layer3_block1_activation1,layer3_block1_activation2,layer4_block0_activation1,layer4_block0_activation2,layer4_block1_activation1,layer4_block1_activation2,total_time
1,0.03706655325566201,0.028810280890382352,0.027248953231313128,0.026593293560708456,0.02657157447426877,0.026850451093087806,0.02651901278010708,0.023735285080731548,0.026360170247944747,0.02263489369144465,0.022207999950710763,0.019983046865487034,0.020479931870594305,0.01876255320880483,0.018865565943749663,0.019452255296501072,0.01956697871829284,0.41170880015979106
2,0.04066042559657325,0.03197303829675025,0.034010825520183176,0.032503217062417496,0.02898757454166387,0.02826335324925628,0.031501889446789916,0.0282125617218937,0.02991802548950023,0.024927455280966897,0.025132868064448553,0.021716561737133468,0.020839829822169975,0.019835846768097673,0.020428119163880955,0.020005106434543084,0.02074927656138514,0.4596659747576539
3,0.03393695313245692,0.0235366127909498,0.02297960853085239,0.01938505531585914,0.02104074890388453,0.02058791487497535,0.021930485087981885,0.02174005103792916,0.021364629775919814,0.020192476626525218,0.022630331928821953,0.02098369362486645,0.02205868938026276,0.020764595761578134,0.022695829804511146,0.02148187238267286,0.0227282382845086,0.3800377872445561
4,0.03408122532703775,0.025047693595765752,0.022929293610789676,0.02086726810307579,0.022488646797756567,0.0227633702152587,0.023544510644167026,0.022073463832048026,0.020974229763638465,0.021339710649261448,0.022259063814627996,0.021075404206528627,0.02089702126352077,0.0207755574332352,0.02044112340725483,0.020908936176528323,0.020162314832448326,0.38262883367294326
5,0.03330614468122416,0.022928612750578434,0.02198978724711119,0.02126338720083871,0.0209120680736576,0.020824102060671184,0.02182536173532618,0.021595982943681327,0.021181140356558433,0.02023795744245674,0.02131145534283937,0.020244697832125933,0.02061882555643295,0.019899370223085616,0.020086740446772347,0.021943829805055198,0.021156834102572596,0.37132629780098797
6,0.03329926815200993,0.025044697887719947,0.023732289362778054,0.02071094468354862,0.021665089373338095,0.02247959147108362,0.022133923381408478,0.020730212794497927,0.0213348086031669,0.020479523391522307,0.02127285109476206,0.020011914881104802,0.02017531915706523,0.018760851089981326,0.018274723391662886,0.018051336208318777,0.017440000008989837,0.3655973449329588
7,0.03897668089955411,0.031213344708877676,0.029894195707078942,0.028034655341601118,0.027233429835673343,0.025508017015663232,0.027327727728543128,0.02618580420917653,0.02606856171834342,0.02379336172635568,0.02167502980124443,0.020079863836315083,0.020449225509420355,0.01913627236784297,0.021609327656791567,0.02264115742823862,0.022252459597199205,0.4320791150879194
8,0.033003233987441725,0.022633463821988158,0.021040000013531523,0.018457259550849175,0.01950229788991682,0.01975802549537509,0.020413344702188006,0.020531948959018956,0.019429242561392963,0.01888599142808705,0.02009239151598291,0.01906137869376293,0.01997099575844217,0.018470808526778473,0.018905463820680025,0.019123948972791117,0.018843370203443982,0.3481231659016711
9,0.03380091910032516,0.024184851063058732,0.02423741275722042,0.02078182127009681,0.02302318298396595,0.022656544733871804,0.022393804206017484,0.021515642570212802,0.021060085094514045,0.021030740385399538,0.02268834045909821,0.02246577018832273,0.022346893652401705,0.022416204301283715,0.022646944671671124,0.02143244262428043,0.022573140438923493,0.39125474050066417
10,0.034742059665633006,0.026923982993243858,0.0255371574867279,0.02290090212122874,0.02370961698445868,0.025461038342736504,0.023720919182325932,0.023892561689098465,0.023299608468771615,0.022022331947896708,0.02142073188095968,0.021789889384378144,0.021325412761182227,0.02120966809464896,0.020198944697473596,0.019092902109185433,0.019874859565591558,0.397122587375541
11,0.03352701267663469,0.025107472419659507,0.023592714846451233,0.021308868118819404,0.021920748873356176,0.023025702169918,0.02300098721889105,0.022043642562199782,0.02107492765372104,0.021509923366829754,0.021920748958562282,0.021105021274985467,0.020954212778188448,0.020378348943678307,0.020504238351466173,0.019415148984680466,0.020176544731007294,0.3805662639290491
12,0.03782897024078572,0.029120885089356847,0.028894297842015613,0.026085446812608774,0.026737361666845514,0.02519026382211992,0.02653739575217379,0.027025157411364797,0.026261310671713757,0.024041463831003675,0.024881157477168327,0.022598059598277223,0.025034212758962778,0.02373256162304352,0.02589208503313204,0.025462468076457686,0.025093651075470954,0.45041674878250093
