epoch,layer_1,layer_2,layer_3,layer_4,total_time
0,0.03800636238473303,0.02314142116728951,0.021316592971629956,0.020944752940798506,0.10340912946445101
1,0.037669684641501486,0.02274627767064992,0.02148239058606765,0.0207070117816329,0.10260536467985196
2,0.03817129414747743,0.02314895055968972,0.021669232974595883,0.02107019297340337,0.1040596706551664
3,0.038067162389702654,0.023016470637829866,0.02158181644976139,0.020781703534371712,0.10344715301166561
4,0.03786511057439972,0.022818183519822708,0.021247811795157546,0.020541854115093454,0.10247296000447342
5,0.03761603761683492,0.02282910118208212,0.02146014118238407,0.02049404236323693,0.10239932234453804
6,0.038323764713371504,0.023316178771064563,0.021793844688902882,0.020941289395970456,0.1043750775693094
7,0.0373904564735644,0.02257381643223412,0.021560884688926092,0.02064214590279495,0.10216730349751957
8,0.03776914822266382,0.022796536493389044,0.021528244711020415,0.02060419765903669,0.10269812708610997
9,0.0386345034662415,0.0232269176599734,0.021883218845023828,0.022024734138565906,0.10576937410980464
10,0.03908468708395958,0.023615510579856003,0.0223194729361464,0.0216970164767083,0.10671668707667029
11,0.03853334585095153,0.023045609422466334,0.02199518120245022,0.021137656475252967,0.10471179295112105
12,0.0378423340925399,0.022918889382306268,0.02129968947347473,0.020822776488083252,0.10288368943640415
13,0.03828389654264731,0.02311186825089595,0.021472376466673965,0.02058322825414293,0.10345136951436015
14,0.03806561889893868,0.023055924705284482,0.021737863515668056,0.02072176942930502,0.10358117654919624
15,0.03813564233043615,0.023045910548637895,0.02134144002243,0.02062720000524731,0.10315019290675136
16,0.03831341176348574,0.023021364718237344,0.021439698814030957,0.021185355320134585,0.10395983061588863
17,0.03805808946928557,0.023353524694547934,0.021607679967932843,0.02102904468336526,0.1040483388151316
18,0.03855254590949592,0.023293402387815364,0.021650258822037895,0.020791190610650708,0.1042873977299999
19,0.038309797688442115,0.022805760005379424,0.021552903562345925,0.020783887051922433,0.10345234830808991
20,0.03842059294309686,0.023223717661903186,0.0219900988108095,0.021037628251840086,0.10467203766764963
21,0.037974927079151656,0.0228485647019218,0.021548837655607393,0.020798531788236953,0.10317086122491781
22,0.038049844718154736,0.02293135060764411,0.021457054137307054,0.020906879991731225,0.10334512945483713
23,0.038181270623908324,0.02313302586402963,0.02156924237661502,0.020817882390144992,0.10370142125469797
24,0.03815943534321645,0.02293112466878751,0.021666823537910686,0.021148235342081854,0.1039056188919965
25,0.03798912004951169,0.02308965646168765,0.021328790619531097,0.020603934136383673,0.1030115012671141
26,0.03778947768404203,0.022813590569969486,0.021458334171158427,0.02090944001560702,0.10297084244077696
27,0.037977185928646254,0.0229582306085264,0.021990287030006155,0.020718870596850618,0.10364457416402942
28,0.03807333647766534,0.02300867764827083,0.02163809881929089,0.021008338851525504,0.10372845179675257
29,0.03812310591340065,0.0234514447060578,0.021554522367522998,0.02108784939217217,0.10421692237915361
30,0.039383792982381934,0.02408666353453608,0.02259196238263565,0.02192131771103424,0.10798373661058791
31,0.03912824469454148,0.024075858818695825,0.022415924681460156,0.021549741180942338,0.1071697693756398
32,0.039048583529451314,0.023329129392171608,0.022310851818936713,0.021240395327263017,0.10592896006782265
33,0.03894885648699368,0.023406117615454337,0.02232459293349701,0.021213891762582694,0.10589345879852771
34,0.03873720472788109,0.023523275286835784,0.022085383543196845,0.021354390573413932,0.10570025413132765
35,0.03839416468406425,0.023385788228581932,0.021730522362186627,0.0211658541288446,0.10467632940367741
36,0.03801302588380435,0.02286991058903582,0.021400320023736534,0.02048214591382181,0.1027654024103985
37,0.03793731763958931,0.02310358590062927,0.021333157691885443,0.020821496541885767,0.1031955577739898
38,0.03747542596915189,0.022572536437826998,0.02122499765280415,0.020706710618208436,0.10197967067799148
39,0.03818480945247061,0.023190814125187257,0.02147553881520734,0.02081456945222967,0.1036657318450949
40,0.037806268180994425,0.022759717652464616,0.02144941179191365,0.020665750641594916,0.1026811482669676
41,0.03794424471609733,0.02248911061707665,0.021344451788155472,0.02055141645757591,0.10232922357890537
42,0.038260291687705936,0.02315821176285253,0.021445007070022473,0.020844310620690094,0.10370782114127103
43,0.038131124762927786,0.02316404702689718,0.021260988263084608,0.021030362384284244,0.10358652243719381
44,0.03814290827688049,0.023268367045504206,0.0215439811809098,0.02104583534247735,0.10400109184577185
45,0.038439981187967695,0.023419444720972987,0.021746447055655368,0.021011501191293493,0.10461737415588955
46,0.03799920942853479,0.023109647083808395,0.021401675315025976,0.02040523293263772,0.10291576476000688
47,0.03869093650404145,0.02332197646226953,0.021597665898940143,0.020987858824870167,0.1045984376901213
48,0.03847013650133329,0.02307422117494485,0.021677816490478376,0.021003708265283527,0.10422588243204003
49,0.03773293174803257,0.02274488470352748,0.021508367055040948,0.020917571769917712,0.10290375527651871
