epoch,layer_1,layer_2,layer_3,layer_4,total_time
0,0.04139041882227449,0.023980272968902306,0.02251297881498056,0.021652894116499843,0.1095365647226572
1,0.04185622590867912,0.024217035329955467,0.022208715324454446,0.021471698803498463,0.10975367536658749
2,0.04202081888037569,0.024202992935829303,0.022273769400575582,0.021847002322182937,0.11034458353896351
3,0.04133477642255671,0.0238617600237622,0.022306936468709918,0.021510211764013066,0.10901368467904189
4,0.04100468701299499,0.02408892235335182,0.022056508226429714,0.021490032953374524,0.10864015054615105
5,0.0408625317496412,0.024024922376608148,0.022341157642795758,0.02170341648380546,0.10893202825285056
6,0.0412882447111256,0.023890145863680278,0.02239841880167232,0.022018371807301745,0.10959518118377994
7,0.040933270669158764,0.02416527061997091,0.022064489402315195,0.02177483295912252,0.1089378636505674
8,0.04088560944094377,0.02430588238817804,0.022199717659284086,0.021929600010899938,0.10932080949930584
9,0.04111702590304263,0.024040771760046483,0.02221616944845985,0.02150896941914278,0.10888293653069174
10,0.04088289887589567,0.024056508240892605,0.022405797641943483,0.021455698837252225,0.10880090359598397
11,0.0408284235307399,0.023895115315475883,0.022215755277258508,0.021492065903456772,0.10843136002693107
12,0.04068461177980198,0.023588065914809705,0.021763124720138662,0.02133906823089894,0.1073748706456493
13,0.04093598117284915,0.02391058824079878,0.021991792941356406,0.021540178814355066,0.1083785411693594
14,0.04073295062517419,0.02401031528106507,0.022092724722974442,0.021659783561001806,0.1084957741902155
15,0.04038893177228815,0.023594955282614512,0.021875915330122498,0.02122439532814657,0.10708419771317174
16,0.040499463506481224,0.02386304000940393,0.022063887077657614,0.02162548710975577,0.10805187770329854
17,0.040953035306404616,0.023802654136191394,0.02202695528154864,0.02136688940007897,0.10814953412422362
18,0.04074834820540512,0.024096903546768075,0.022055378827978582,0.02128079057616346,0.10818142115631522
19,0.041108178864507114,0.024245760004748318,0.021943341193391995,0.021410522399579777,0.1087078024622272
20,0.04083885171395891,0.023991228223723522,0.022031585878747352,0.021610691773102562,0.10847235758953236
21,0.04061232940239065,0.02412995765752652,0.02190215530202669,0.02144944942172836,0.10809389178367221
22,0.040692931847537264,0.023805891783798442,0.02216850823339294,0.02145716704428196,0.1081244989090106
23,0.04116702120532008,0.02428220234153902,0.022183642354519927,0.021527981181793353,0.10916084708317239
24,0.04120079060249469,0.024020254149594727,0.022344320017625305,0.02165500236346441,0.10922036713317912
25,0.041383454089655596,0.024058917686343193,0.022422174103558064,0.021972028240561485,0.10983657412011835
26,0.0416331293959828,0.024232395332964028,0.02234277646550361,0.021829270584618345,0.11003757177906878
27,0.041375774136360954,0.02412280469256289,0.022097054108539047,0.021461985889164842,0.10905761882662773
28,0.04141375997925506,0.024040922334089,0.022046418807962362,0.02172272945589879,0.10922383057720521
29,0.04124099768698215,0.024025675321326535,0.021809694153421065,0.021545374132692814,0.10862174129442256
30,0.04084265411338386,0.023873618838979916,0.022074729410164497,0.021749496477491716,0.10854049884002
31,0.0411629929349703,0.024003839963937505,0.022101308247622322,0.021692988228271988,0.10896112937480212
32,0.04140739767866976,0.02413560469799182,0.022209807075560094,0.021708875278777937,0.10946168473099961
33,0.041118080081308586,0.024275388228980933,0.021979896437157604,0.02167393882484997,0.1090473035722971
34,0.04170970354010077,0.02391092706690816,0.02235704470644979,0.02184026353937738,0.10981793885283611
35,0.04148442348136621,0.02418360473916811,0.022361976464881618,0.021979369400616955,0.1100093740860329
36,0.04100566587465651,0.0239549364916542,0.022031171766712387,0.02143431525896577,0.10842608939198888
37,0.04145803301649935,0.024532555321998457,0.022298465868567718,0.021902531764524825,0.11019158597159034
38,0.04375160469728358,0.025828931741416455,0.023826258807059596,0.02283060704522273,0.11623740229098235
39,0.042124687021269515,0.02441818353446091,0.022539369413519608,0.022060574120020167,0.11114281408927021
40,0.04180792468873894,0.024028837669859915,0.0222267105912461,0.02185547296396073,0.10991894591380569
41,0.04170759539832087,0.02405168940915781,0.022461176446693785,0.022308065902222604,0.11052852715639506
42,0.04149360939422075,0.023933590611114223,0.022069195296396227,0.021525534102145364,0.10902192940387656
43,0.04099388232564225,0.02409735531929661,0.022221364696674486,0.021578240015489213,0.10889084235710256
44,0.04114304008729318,0.02359585884520236,0.022101383518208475,0.021978767075959374,0.1088190495266634
45,0.04093684705302996,0.024525138836573153,0.022221251765594762,0.021844781192348284,0.10952801884754616
46,0.04090559997541063,0.024001505883301005,0.02240530821987811,0.02199608472559382,0.10930849880418357
47,0.04155994357431636,0.02429624470498632,0.02198979762766291,0.021812592933283134,0.10965857884024872
48,0.04124389645369614,0.024229571768904435,0.02227147293222301,0.02175936001846019,0.10950430117328377
49,0.04157161406296141,0.024106164706103942,0.0221351529438706,0.02199111531543381,0.10980404702836975
