epoch,main_activation,layer1_block0_activation1,layer1_block0_activation2,layer1_block1_activation1,layer1_block1_activation2,layer2_block0_activation1,layer2_block0_activation2,layer2_block1_activation1,layer2_block1_activation2,layer3_block0_activation1,layer3_block0_activation2,layer3_block1_activation1,layer3_block1_activation2,layer4_block0_activation1,layer4_block0_activation2,layer4_block1_activation1,layer4_block1_activation2,total_time
1,0.033016034049239563,0.026400953218182352,0.024564357422926324,0.021905565989065044,0.02335496172903383,0.024232170239407966,0.023517753181860168,0.023049463821139107,0.02197024682536721,0.02026253614693563,0.021442382988777566,0.02053358298528226,0.019858995747772303,0.018800136153685285,0.019256442594044704,0.01865157448944259,0.017989038315383676,0.3788061958975456
2,0.036037582951657314,0.028137668105278242,0.028212085160169195,0.027069889318118705,0.02693208515089243,0.02567584682454137,0.02586505529173511,0.025255557433008512,0.025172493525562768,0.023508016994975983,0.02250083399778034,0.020427506348673016,0.021041225560722833,0.019610757495653122,0.020727965986712817,0.020307676589235345,0.021160510654977344,0.4176427573896945
3,0.03653460419637726,0.032209021300870055,0.03275322562202494,0.027757140504632224,0.03078665532013203,0.02867302134870849,0.029225327617468985,0.0271045446395874,0.02577068934890818,0.02427690213823572,0.023144034080286608,0.021533072319753627,0.022590842569603566,0.020029140352965037,0.02101617023804562,0.02225947238683225,0.02094597447207792,0.4466098384565099
4,0.03784102129333831,0.03265184681228501,0.032050246824609475,0.030428731903196015,0.031140289463578386,0.029701378765179122,0.02983523406920598,0.030125208508144034,0.027889293662094056,0.024413480848430636,0.02413160847896274,0.021860493611584,0.02272428936186306,0.021032578784457228,0.022088919155933754,0.02109290208528809,0.022738995715143515,0.4617465193432934
5,0.03259424676207152,0.027731336106328254,0.025275370240845578,0.02298308093734878,0.024816476619069248,0.025103319147007263,0.028067880845133293,0.023654740410757824,0.02229140427042829,0.024286978733428614,0.024493480901768866,0.02176810215286752,0.02311891067099381,0.020565378723388657,0.022022263846419594,0.020515812816534272,0.022534127637466535,0.4118229108218579
6,0.0413462467769042,0.031645004296714956,0.03251485957942427,0.028695897831323935,0.032689293666168094,0.029448170185168373,0.030464544682268134,0.028589957406585837,0.028976272363611992,0.02633109789123719,0.028480272356698172,0.024379097870451973,0.02551428085351561,0.02267193197015118,0.0205372595981239,0.01962035744589694,0.020217123403748934,0.47212166817799367
7,0.036641429848176366,0.02569348080519666,0.024674519127670755,0.02120973616243994,0.020845957504625017,0.022239863771469668,0.021347540480263057,0.02373882554114816,0.021902093679663982,0.019632408522227977,0.021634246764625324,0.02030862974240742,0.021731063849391774,0.021720919111109478,0.021532868087648396,0.021446331884672352,0.021622468058535075,0.3879223829412714
8,0.03788997444938472,0.02817402557331197,0.02701855325239136,0.025008476523563583,0.027510332001095757,0.027192442612524362,0.025433804312760527,0.023838025559373994,0.026122417077025836,0.022110093586107202,0.023793157403099726,0.02169572764789646,0.02317848506661013,0.02147513198111444,0.020938553217243642,0.01936592343362405,0.020827914897273196,0.42157303859440093
9,0.03657307241191255,0.03117371912887122,0.02869855317663639,0.027141923384067224,0.02854958292136484,0.02708759146960492,0.02653766802135617,0.024525140378465676,0.025123131948899716,0.02427724253960905,0.025948936140481778,0.0232733276365523,0.022925480864347612,0.02215795750789186,0.022585191496429926,0.023140765862301627,0.022760306417625,0.44247959130641784
10,0.03878434048371112,0.0300559660221668,0.02912585531619001,0.02398434037421929,0.024727489325673657,0.024946042562418797,0.023392476591261778,0.02358461280967644,0.02337599997705919,0.022211880864020674,0.024437378676845988,0.02223142126396774,0.02496551486584259,0.024412799938680962,0.02432462981545386,0.023790025550555042,0.023783829827059774,0.4321346042648037
11,0.03996255324479747,0.03287067230236023,0.03142311498522758,0.027539199953304325,0.028255659557799708,0.02718719997978274,0.02811622124244558,0.026193293740853985,0.025044289397749494,0.02434655322614027,0.025905702157104585,0.024628085164511773,0.027494468120858075,0.02431257876488281,0.025926672418581997,0.023830944727709955,0.023209123392688467,0.4662463323767991
12,0.03913627241123864,0.031162348976160617,0.027698451036864774,0.025609463768357293,0.025824068126050717,0.025275506378409075,0.025918570220311906,0.024919353205552126,0.024870876607267146,0.022647693585802584,0.025198161746672495,0.02320456171527188,0.02447564257308841,0.023669106407249545,0.022807285128200943,0.024066451064092997,0.02359870630712744,0.4400825192577186
13,0.03630291065003009,0.028969804231235956,0.027203812808828786,0.02453855320296072,0.025153225571154913,0.023933140453981594,0.024812799991366076,0.023958059552898432,0.02517208510296459,0.023304442523364374,0.023871795775646226,0.02320810210138084,0.02444153193067363,0.02286604263601785,0.02519339569447998,0.023651812773475306,0.024181514953639596,0.43076302995409893
14,0.037500595713549474,0.029534502073805383,0.028576476578699782,0.024785225517413717,0.025745429853571856,0.02664258728358657,0.025897191456974823,0.02412847660759345,0.02389283407915463,0.023569021284818015,0.024688476609422805,0.02294243404126548,0.02514417022367583,0.02191618731384106,0.02387955750219841,0.02348745527895207,0.02336748935916322,0.43569811077768655
15,0.035203063848646396,0.028349412803320175,0.027879012724820604,0.02485814470639254,0.0249864170347598,0.025310093643976017,0.024739472357992162,0.024095659580160963,0.02401191486996856,0.02244554891231212,0.024348936164553494,0.02247128509916365,0.023711863877449897,0.021605651038996084,0.02261787237341892,0.02202314892684684,0.024053038240588725,0.42271053620336696
16,0.03565147229014559,0.02808231494211136,0.02545320850975336,0.02534093621008574,0.02493276603599178,0.02409143833483153,0.0253826042320183,0.024230740459120655,0.024334229861802243,0.02265994895764805,0.02778539585662966,0.023853276609542205,0.024089191525064883,0.02144667236728871,0.02232490213528434,0.0223621446778007,0.020596289388003185,0.4226175323931223
17,0.03597351491372002,0.028474348934089885,0.027857157512706645,0.02342842545637742,0.025106451085748823,0.025290961674553282,0.025210008532442946,0.023662570208073296,0.022740561737025038,0.022408170258983017,0.02405480851835393,0.021783489390137665,0.022115404275741348,0.020875846825421172,0.02036064679318286,0.020650893634066303,0.020381140399803505,0.41037440015042714
18,0.0329225532274614,0.024950944640217944,0.02446685954928398,0.023588970242107803,0.023597821292090922,0.02446209363084524,0.024364051119761265,0.023442451001957375,0.023070297885606897,0.02179485956860825,0.02290212769814311,0.021720578734505367,0.02424748940195175,0.021826246741445773,0.024090825496835912,0.02315281706148798,0.022989753201762414,0.4075907404940734
19,0.03699554034132273,0.028783455320653763,0.030517923514893713,0.02727203405006452,0.02713531911016462,0.026545225569304633,0.028789242499686302,0.02810144674904803,0.027602859606292652,0.024346485130607765,0.02319005956239206,0.022386314889336838,0.021813514973334176,0.020735114927780122,0.021659234054188462,0.022427029820515754,0.021713361700877863,0.440014161820464
20,0.042233463737400286,0.03519101278816766,0.0349988766014576,0.032494638301432135,0.04006481700121088,0.031576714894555984,0.033100663826979224,0.03132527662005196,0.029912034033777866,0.027296544692697045,0.02776122550539514,0.030702366071574866,0.049301378337785286,0.025022978727963375,0.027840612763340804,0.028148697856615515,0.027475540484598975,0.5544468422450046
21,0.036431046821018484,0.03035193198221795,0.029220017029884013,0.027355506425683802,0.026131131931980873,0.02720306384515889,0.027384510648218875,0.026214808534751548,0.02445440005431784,0.02374720000364679,0.025347812778930716,0.02367489362492206,0.02442287665177533,0.023013787279698127,0.023557174475269116,0.023039182989877907,0.02390733618645909,0.44545668126381144
22,0.036085719203061244,0.03201756598427892,0.029552680884111435,0.0281971744895774,0.029124834107116183,0.029510604294928463,0.03071857013917984,0.027105293640906507,0.026017089358511124,0.026176953179008783,0.027372663777242314,0.026826689298205236,0.027319148985391603,0.02283302126254173,0.022099948990495596,0.022592885106643465,0.022045821247701634,0.4655966639489015
23,0.04608905532179361,0.03424367661726602,0.030364255286119086,0.03269875750658994,0.029409089276289685,0.028970689318598586,0.041367557747884,0.02833811062923137,0.04132820392384174,0.030452016895597286,0.03102325106118905,0.027848510709690286,0.02898267226967406,0.025706348852551682,0.024733004254348417,0.02495632340655999,0.026427302184574147,0.5329388252617989
24,0.035045651080919074,0.030502331894921495,0.029061923497059244,0.02631264680877645,0.02650805105792081,0.026829548913272137,0.026506008437656343,0.026100629797958314,0.027359251095417966,0.025643574468236653,0.025571336165229056,0.02509589784956993,0.025262910662654868,0.022677651109134264,0.022752408508924727,0.021941106362228697,0.023435234075332892,0.4466061617852129
25,0.04744531050562224,0.03145593187593399,0.03189773608316132,0.027719285097369487,0.027705463850276266,0.030343897957751092,0.02757099577562606,0.027786349001875585,0.026465293658065034,0.025381174457675598,0.02572003403242598,0.025891336146742105,0.02651356593408483,0.025528851100937167,0.025244527738145058,0.023763063765982997,0.041125922991914,0.49755873997358885
26,0.049539812765222915,0.03773092778914786,0.03790359148716039,0.03398195738963624,0.03286529374407961,0.03618355734630468,0.03530716604374825,0.030810825471231276,0.03226825539022684,0.03005290207393626,0.031227302079663632,0.03275199995197831,0.030704136145241718,0.03273491069000769,0.028146110617734015,0.031531234016206035,0.03127353195834191,0.5750135149598676
27,0.0715003236454535,0.04535707230184306,0.043381787194533554,0.04112803394252316,0.04417409368572717,0.039753804371712054,0.03742733620344958,0.039603812861791314,0.03711373635983847,0.03399237439313785,0.03882941289785061,0.0366080680802623,0.033360340374898406,0.03063863827946021,0.031760816998343835,0.033971131913998025,0.03524520859280799,0.6738459920976311
28,0.0822457867218776,0.04300629776763789,0.0338205957745618,0.04390713169853738,0.03422794898456716,0.037464033840025994,0.039879421267579214,0.03532643410119605,0.04075874064038409,0.030037106337778747,0.03223686813119244,0.032269957411955014,0.030667914856383774,0.051843880533062395,0.028282961748698925,0.027435165955784158,0.029500799929287204,0.6529110457005098
29,0.050194110626235924,0.039093855229463986,0.03483431478367841,0.032058825510296415,0.03376817015455441,0.03374284253594406,0.031001259497505554,0.031644527592319754,0.03046897024788121,0.03252629778011048,0.03133385523044049,0.033412629611631654,0.03978934494501098,0.026742263818952314,0.026780868080900386,0.02512864683695296,0.028051608476906697,0.5605723909587857
30,0.04385205101459584,0.03501984678961812,0.03555683408804396,0.032796323424244815,0.030967625551559824,0.03100112345505585,0.03172799998775441,0.031119319190211752,0.030836153200807723,0.028803608556614912,0.03152871495707238,0.0269740935811337,0.036219234320711585,0.025173719220378615,0.024561497880185537,0.025421344588926816,0.02705640848032496,0.5286158982872408
31,0.038600374437234505,0.0326553191553722,0.031972697908256915,0.030597855313185682,0.03045222120993632,0.027947029701255736,0.02969348080297734,0.029411744655288282,0.027825566024539318,0.02619839991700459,0.02720197448705105,0.027659574462140495,0.025883166012453274,0.023685378771513065,0.023269446805476192,0.024097906454327574,0.024526025542117497,0.48167816166013006
32,0.04251567659542916,0.03693208507400878,0.037004187227563656,0.03849443405311793,0.0371648681647283,0.034237208530465336,0.03460105529570199,0.03332493623837512,0.03358849360349964,0.031608238297098495,0.027425293628364166,0.025968680849814036,0.026053446844378686,0.023113055251776538,0.024683710678104074,0.023958059574695344,0.02591768508341084,0.5365911149905321
33,0.03652514042134615,0.031187676567029445,0.030167148971652732,0.028633668075533622,0.028512748909440448,0.029841089423032516,0.028506621322099197,0.026902468038841765,0.02598474903943691,0.024987233975069953,0.026960817023002088,0.025020731920178268,0.02479857022854242,0.021612527665305643,0.02271291914970634,0.022109004246823966,0.022509753254262056,0.4569728682313035
34,0.05288061291534216,0.04039142124275578,0.03659520016071644,0.031808272404398055,0.05598434042185545,0.03479148932593934,0.032128272316557294,0.03149160862444563,0.029325412764669732,0.03174883405420374,0.03339499567655173,0.030342876604025033,0.028875506387904603,0.028343421369394724,0.035289532009591444,0.02975332777392357,0.026171846766064457,0.5893169708183392
35,0.03665048507775398,0.03055666381136534,0.030035472340247733,0.02776217874179178,0.028484425499559717,0.026418927626961724,0.02978648514031096,0.026522008531746712,0.027578961692671194,0.02633130215504702,0.0262291744826956,0.025819438301581652,0.026426416976337738,0.02541276603402134,0.02694965104889521,0.025143012776970862,0.0260631148871827,0.47217048512514126
36,0.04203996597293844,0.03748391498118005,0.03725923408377678,0.03732091918231008,0.03433647660261139,0.032784476547323645,0.03439645956646889,0.03269508077188375,0.03186941276046824,0.029144306427383044,0.028304068070459872,0.026179948981177616,0.025114961737330924,0.023625668090708714,0.025996799956254184,0.023970519235119857,0.025288510661413695,0.5278107236288092
37,0.03309262972721394,0.028336136233299336,0.026507710609981354,0.02406161699364794,0.024289770192526122,0.0253722553399015,0.024798025515802364,0.023825565995054043,0.023318808593172976,0.02305273189348109,0.024467131982933966,0.023162757460662025,0.024120238338141364,0.02164881702591764,0.02317419576934202,0.02299737871446191,0.02336272344468756,0.41958849383022717
38,0.03617994908560464,0.031664544740255846,0.031099370193291218,0.029592034026504833,0.028776374455303587,0.03011485961999031,0.029396017058257094,0.027286331918328365,0.026263353204790583,0.026147744665913124,0.026221617049676307,0.024663897829645492,0.023903387269758162,0.022073940415569444,0.02233933616786244,0.021820868046439075,0.023234110653519314,0.46077773640070985
39,0.033719965918584074,0.02962702981572836,0.025475880888072733,0.02446107230287917,0.025226757465366352,0.025859472254647853,0.02553872343232023,0.025305804316984846,0.023714519145482397,0.023759523357086358,0.025259574566115724,0.02309494468759983,0.023547234041418168,0.021284561720181335,0.02107703832394265,0.020697531927416617,0.02129606811844922,0.4189457022822759
40,0.033598774429807,0.029508970237951328,0.029002961686792526,0.026979404244017093,0.026610587216279607,0.02762362550785567,0.026568102139107725,0.025544238324336548,0.026054127637217653,0.024927931855571395,0.025722689367830752,0.024991046758170456,0.024363914869250134,0.021789140370179046,0.022340289350757575,0.021989719127800237,0.02227363404223418,0.4398891571651589
41,0.039433668173374015,0.035144782973889344,0.03323635749043302,0.03512108937856999,0.032188799953524104,0.0300730552405436,0.03239203400592855,0.030440510599378575,0.030447046791619442,0.027630366002546345,0.027253038305392926,0.025339778689073122,0.02979758289107617,0.02471434895860705,0.027031080786416188,0.02753000852869863,0.028881021242271713,0.5166545700113427
42,0.03767748083919287,0.03271870640839668,0.03175652763865729,0.031172629762837228,0.029850757419270405,0.029483506392608296,0.02964657021171235,0.02876248504728713,0.028622434133703405,0.02743748089774175,0.025961668016587166,0.02457007656785402,0.02521865534338545,0.024180902122579357,0.025934229753515187,0.025864306375622117,0.026739540413775024,0.4855979573447257
43,0.03596738723919113,0.031789957442657744,0.030012119196830913,0.027774229782455143,0.028874893593502805,0.028458008499063076,0.02800939582843096,0.026419472367443304,0.02876466377142896,0.02673974464984333,0.02877365110957242,0.026239251016460834,0.026723880816171778,0.02474165105439247,0.025568340454210945,0.025724051004037896,0.02618246804328358,0.47676316586897727
44,0.03596241703613642,0.030952987154113487,0.029414263855111093,0.02918400003554973,0.027384306345769067,0.02807822980858544,0.030271182950348297,0.02819513193866674,0.02723302127833062,0.027210212802078495,0.028211608580610854,0.027122927667137156,0.025952748906739216,0.026480748969070773,0.026675472326299295,0.025847557503135596,0.026257702109820032,0.4804345192675023
45,0.03366590632086105,0.02939819570313743,0.028222161737528253,0.025371166021424404,0.025495897855688916,0.02610226376972934,0.02546920858006528,0.024902604244887196,0.02386539574078423,0.024190706358429917,0.02788895327360072,0.026093753151833377,0.02549262972390081,0.023849668117993054,0.024659472380943123,0.023813106330666453,0.026289293590061207,0.44477038290153476
46,0.036775217098283006,0.031134229724077467,0.03025606813582968,0.029485685106842442,0.029410110604255756,0.02897545533215112,0.02893419579820747,0.028750570249208744,0.027863217026312302,0.0260780936216024,0.02634267233153607,0.025255625492873343,0.023987608537711997,0.02243165958355716,0.023123540446915208,0.022095863838145074,0.024211676550553517,0.46511148947806275
47,0.036422195820573794,0.034035812805783244,0.032567829769501025,0.029457974493345047,0.03168503830922728,0.03124854465193571,0.029407795768310416,0.0297931573789646,0.02876677449713362,0.02742052765642392,0.02798386379838624,0.02481504677636351,0.02483288507829321,0.024247217074314015,0.024680987235277573,0.024584851066205414,0.0264874893418969,0.4884379915219355
48,0.03398747232524638,0.027633838327799705,0.027159761690950773,0.02477834891884568,0.024670229766993446,0.026004221286386884,0.026211608514348242,0.025875676629391123,0.02507288511049874,0.024750229851045507,0.028317004228208927,0.02753259582999856,0.028058621219973615,0.025769191511728344,0.02758393184717824,0.028897565985692944,0.026786110596731305,0.4590892936410184
49,0.033448510739873066,0.029073225512625055,0.025733719104306496,0.024884425499971878,0.025466144651650115,0.026172187238773133,0.025336987267624823,0.026107234012414802,0.024170212752800038,0.02498478311054567,0.026585395780808114,0.02616551490698723,0.025482416965384433,0.0240856510606852,0.02621337871384272,0.02520599151921875,0.026295761737298775,0.4454115405748103
