epoch,train_loss,train_acc,val_loss,val_acc
1,1.5439607266616822,0.44738,1.1298632553100585,0.5921
2,1.0815895297431946,0.61518,1.0129730787277222,0.6457
3,0.895265366859436,0.68536,0.8119019102096557,0.7146
4,0.7608567982292175,0.7358,0.7593107136249542,0.7411
5,0.6705663100242615,0.76808,0.7096988967895508,0.7549
6,0.6087643226242065,0.79102,0.6563862508773803,0.7785
7,0.5570262291717529,0.80732,0.6290815273284912,0.7828
8,0.520880933380127,0.82062,0.5897648743629456,0.799
9,0.4835462402534485,0.83172,0.5032926855087281,0.8286
10,0.4603048140335083,0.83994,0.5013523644924164,0.8315
11,0.43681435850143435,0.84956,0.4970414096832275,0.8273
12,0.40807320498466493,0.85876,0.4794723437309265,0.837
13,0.39330184762001036,0.86254,0.4743450780391693,0.8378
14,0.37056318634033203,0.872,0.48553938055038454,0.8405
15,0.35837335907936096,0.8751,0.4800161742210388,0.8419
16,0.3432734874343872,0.8805,0.45047692289352415,0.8455
17,0.3329464262580872,0.88262,0.3967160852432251,0.8658
18,0.31390725255012514,0.89048,0.46726735014915466,0.8545
19,0.3033989155197144,0.89322,0.4170827567577362,0.8652
20,0.29217811878204347,0.89822,0.44228575916290286,0.858
21,0.2820743801307678,0.90086,0.4422760869979858,0.856
22,0.2710906071376801,0.90484,0.4492532552719116,0.8566
23,0.2634825168800354,0.90862,0.40995562167167665,0.8715
24,0.2530517088031769,0.91242,0.4130700087547302,0.8669
25,0.24760339938163758,0.91358,0.42321149077415465,0.8622
26,0.23622300882339478,0.91606,0.3877096380710602,0.8743
27,0.22939834015846253,0.92052,0.4032819419384003,0.8757
28,0.22271986636161803,0.92148,0.41398821153640747,0.871
29,0.2198868632221222,0.9232,0.41285771980285646,0.8724
30,0.2004853454208374,0.93,0.41667753834724425,0.8726
31,0.20150839260578154,0.92852,0.38792000408172606,0.8768
32,0.19264091450691223,0.93352,0.38382029132843015,0.8821
33,0.18549269415855407,0.9345,0.40549965991973874,0.8801
34,0.18153155936717988,0.93634,0.39971340112686154,0.8767
35,0.16968733400583266,0.94004,0.4116617632865906,0.8755
36,0.1709033312368393,0.94008,0.37242142724990845,0.886
37,0.1572877666091919,0.94428,0.3943781909942627,0.8841
38,0.15979387086868285,0.94384,0.4000052484512329,0.8815
39,0.14667398145675659,0.94844,0.41292103605270386,0.8801
40,0.1380391706085205,0.95182,0.40460811672210695,0.8834
41,0.14137602902650834,0.95004,0.38619336671829224,0.8871
42,0.13019534858226775,0.95376,0.38094272422790526,0.8918
43,0.12660170782089233,0.95506,0.39658189640045166,0.8893
44,0.12250714261054993,0.9561,0.4054451385498047,0.8856
45,0.1157217215013504,0.95908,0.39944258613586425,0.8907
46,0.11110069527387618,0.95982,0.3785890285015106,0.8914
47,0.10708996837377548,0.96264,0.3730025629043579,0.8978
48,0.10133544388055801,0.96424,0.3890298391342163,0.8939
49,0.09182453619003296,0.96782,0.4187967300415039,0.8873
50,0.08649792446136474,0.9702,0.41602417812347414,0.8911
51,0.08380866058588028,0.96996,0.3987188584327698,0.8959
52,0.07859039619445801,0.97172,0.41901116304397584,0.8931
53,0.0736684430193901,0.9742,0.3911145272254944,0.8991
54,0.07118957856178283,0.97506,0.42444094438552854,0.8937
55,0.06492158096313476,0.97686,0.38188058643341066,0.9028
56,0.062243268182277676,0.97806,0.38933191299438474,0.8995
57,0.054457757725715636,0.98072,0.3966621859550476,0.9041
58,0.05381052759349346,0.98084,0.3979135375022888,0.9014
59,0.047386584770679474,0.98338,0.40799878253936767,0.9023
60,0.04405453153163195,0.985,0.4023187183380127,0.9021
61,0.03946147061347961,0.9863,0.42579389572143556,0.9008
62,0.035496721959114075,0.98832,0.3958300305366516,0.9089
63,0.030803278299570084,0.98916,0.42700406999588014,0.9029
64,0.02828243392765522,0.99022,0.42517891025543214,0.9052
65,0.024908457055687904,0.99136,0.41651671419143677,0.9091
66,0.023529252251237632,0.99208,0.40466133155822753,0.9134
67,0.019201422703266142,0.99336,0.42379395370483397,0.9116
68,0.017256267066001894,0.9942,0.43087298927307127,0.9122
69,0.016663657100573184,0.9946,0.4337282866477966,0.9102
70,0.013170493559539318,0.99594,0.4231791898727417,0.9127
71,0.011416573137789965,0.99656,0.41440446672439574,0.9152
72,0.00980072681427002,0.99706,0.41388374214172363,0.9149
73,0.008167187335267664,0.99762,0.4213721109390259,0.9159
74,0.00822141789138317,0.99748,0.418548415517807,0.9167
75,0.007029642825946212,0.99788,0.41769429922103885,0.9185
76,0.006474363407194614,0.99838,0.4209611441612244,0.917
77,0.005552440564036369,0.99856,0.4186294027328491,0.9184
78,0.005552579460218548,0.99848,0.4276641342163086,0.9179
79,0.004649256903054192,0.99866,0.4260009306907654,0.9173
80,0.004502582977414131,0.99892,0.4243648277282715,0.9178
81,0.004420142014063895,0.99894,0.4225449710845947,0.918
82,0.003625310554280877,0.99908,0.4261663208961487,0.9175
83,0.0038960795709863305,0.99916,0.42152696523666383,0.9188
84,0.0038113122779130934,0.99904,0.42784881048202517,0.9177
85,0.003216649674959481,0.99932,0.4207085648536682,0.9189
86,0.0038684730521216988,0.999,0.42298591718673706,0.9186
87,0.0034462467067688705,0.99922,0.42059752311706544,0.9184
88,0.0033744919899851085,0.99918,0.4201202690124512,0.9194
89,0.0037393781166337433,0.99914,0.4193948317527771,0.9188
90,0.003947872713804245,0.99906,0.42238268756866454,0.9166
