epoch,step,train_loss,train_acc,val_loss,val_acc
0,3374,0.9953566840600084,0.649425925925926,0.5839767834742864,0.816
1,6749,0.37271095920105773,0.8852962962962962,0.2950095694934328,0.9106666666666666
2,10124,0.25732594609950427,0.9231296296296296,0.28160964816311995,0.9186666666666666
