epoch,train_loss,train_acc,val_loss,val_acc
0,2.2428605556488037,0.16428571428571428,1.763120412826538,0.362
1,1.8337105512619019,0.2714285714285714,1.6055622100830078,0.476
2,1.5067212581634521,0.39285714285714285,1.5025540590286255,0.542
3,1.4380720853805542,0.45,1.4244779348373413,0.6
4,1.253806471824646,0.5357142857142857,1.3707904815673828,0.642
5,1.2915838956832886,0.5,1.3279979228973389,0.664
6,1.2877055406570435,0.5071428571428571,1.2954084873199463,0.682
7,1.304589867591858,0.45714285714285713,1.270125389099121,0.69
8,1.211388111114502,0.5357142857142857,1.2502598762512207,0.698
9,1.2420549392700195,0.4714285714285714,1.234224796295166,0.7
10,1.1349869966506958,0.5357142857142857,1.2212923765182495,0.702
11,1.1661185026168823,0.5071428571428571,1.2101433277130127,0.708
12,1.0547435283660889,0.5571428571428572,1.200257658958435,0.708
13,1.0579015016555786,0.5857142857142857,1.1918572187423706,0.71
14,1.1276772022247314,0.5214285714285715,1.1847177743911743,0.71
15,1.0650150775909424,0.5714285714285714,1.1779651641845703,0.712
16,1.1350680589675903,0.5142857142857142,1.172597885131836,0.712
17,1.1880669593811035,0.5071428571428571,1.1678539514541626,0.712
18,1.146493911743164,0.4785714285714286,1.1639753580093384,0.716
19,1.0016226768493652,0.6,1.1606820821762085,0.716
20,1.0411359071731567,0.55,1.157701849937439,0.716
21,0.913067102432251,0.5928571428571429,1.1550565958023071,0.714
22,0.9536017179489136,0.6071428571428571,1.1528469324111938,0.714
23,0.9060396552085876,0.5714285714285714,1.1511651277542114,0.714
24,0.8721110820770264,0.6357142857142857,1.150086522102356,0.712
25,1.0148842334747314,0.55,1.149488925933838,0.712
26,1.1200275421142578,0.4714285714285714,1.1496250629425049,0.708
27,1.053061842918396,0.55,1.1501033306121826,0.706
28,0.949306070804596,0.6,1.1502779722213745,0.704
29,0.9854351878166199,0.5571428571428572,1.1506060361862183,0.704
30,0.9945009350776672,0.5642857142857143,1.1512746810913086,0.702
31,0.9809554815292358,0.5785714285714286,1.1515216827392578,0.704
32,0.9412943124771118,0.5928571428571429,1.1517729759216309,0.706
33,0.9281914830207825,0.6214285714285714,1.1527496576309204,0.704
34,0.9549122452735901,0.5928571428571429,1.1531442403793335,0.704
35,0.8631405234336853,0.6357142857142857,1.1528698205947876,0.706
36,1.0312618017196655,0.5357142857142857,1.1522537469863892,0.706
37,1.0232080221176147,0.5642857142857143,1.1521233320236206,0.704
38,0.9704984426498413,0.5785714285714286,1.1513891220092773,0.704
39,1.0058565139770508,0.5857142857142857,1.1500481367111206,0.702
40,0.8891710638999939,0.6142857142857143,1.1486318111419678,0.71
41,0.997620165348053,0.5785714285714286,1.1479018926620483,0.71
42,0.9597654342651367,0.6,1.1471363306045532,0.712
43,0.9781604409217834,0.5857142857142857,1.146040439605713,0.71
44,0.995897114276886,0.5714285714285714,1.1445201635360718,0.71
45,0.8498809337615967,0.6357142857142857,1.1416984796524048,0.712
46,0.9158063530921936,0.6,1.1386120319366455,0.714
47,1.1003941297531128,0.55,1.1352803707122803,0.72
48,0.9909481406211853,0.6,1.1320024728775024,0.722
49,0.8486971855163574,0.6642857142857143,1.12957763671875,0.726
50,0.9290632009506226,0.6285714285714286,1.1294279098510742,0.726
51,1.0427930355072021,0.5785714285714286,1.1297551393508911,0.726
52,0.9044452905654907,0.6357142857142857,1.1304004192352295,0.718
53,0.8878381252288818,0.5785714285714286,1.1317178010940552,0.716
54,0.8507435321807861,0.6214285714285714,1.1336252689361572,0.714
55,0.932511031627655,0.6285714285714286,1.13692045211792,0.706
56,0.9376546740531921,0.6357142857142857,1.1413358449935913,0.7
57,0.8713929057121277,0.6214285714285714,1.145914077758789,0.696
58,0.8008739948272705,0.6642857142857143,1.1523025035858154,0.698
59,0.9066381454467773,0.6214285714285714,1.159050703048706,0.696
60,0.9663438200950623,0.5714285714285714,1.1666723489761353,0.696
61,1.0510849952697754,0.5785714285714286,1.1735905408859253,0.698
62,0.9419246315956116,0.5928571428571429,1.17801833152771,0.692
63,0.7754761576652527,0.65,1.1815322637557983,0.692
64,0.8985927104949951,0.6357142857142857,1.1844223737716675,0.69
65,0.9733940958976746,0.6071428571428571,1.1865816116333008,0.69
66,0.9290933609008789,0.6357142857142857,1.1872072219848633,0.682
67,0.9092570543289185,0.6428571428571429,1.1867986917495728,0.682
68,0.9303355813026428,0.5714285714285714,1.1860601902008057,0.684
69,0.8129222989082336,0.6642857142857143,1.184831976890564,0.676
70,0.8594133853912354,0.65,1.1821030378341675,0.674
71,0.8489144444465637,0.6642857142857143,1.1788599491119385,0.68
72,0.9052312970161438,0.6357142857142857,1.1803475618362427,0.678
73,1.0158336162567139,0.5571428571428572,1.1801282167434692,0.676
74,0.8800614476203918,0.6071428571428571,1.1818530559539795,0.674
75,0.9991965293884277,0.5714285714285714,1.1848361492156982,0.672
76,0.8805928826332092,0.65,1.1870627403259277,0.672
77,0.8743248581886292,0.6571428571428571,1.1883896589279175,0.678
78,0.9491090774536133,0.5714285714285714,1.1880905628204346,0.67
79,1.0510197877883911,0.5285714285714286,1.1894934177398682,0.67
80,0.8429930806159973,0.6714285714285714,1.1884008646011353,0.67
81,0.9823215007781982,0.6285714285714286,1.1859289407730103,0.668
82,0.8761158585548401,0.6285714285714286,1.1844792366027832,0.668
83,1.0711859464645386,0.55,1.1863608360290527,0.674
84,0.9767044186592102,0.6214285714285714,1.1923651695251465,0.676
85,0.9100810885429382,0.6428571428571429,1.197015643119812,0.676
86,1.0140995979309082,0.5785714285714286,1.2002346515655518,0.674
87,0.8634469509124756,0.6142857142857143,1.2007074356079102,0.666
88,0.7615601420402527,0.7071428571428572,1.196532964706421,0.666
89,1.0656235218048096,0.5571428571428572,1.196277141571045,0.668
90,1.056322693824768,0.5642857142857143,1.1964348554611206,0.672
91,0.9967817068099976,0.5785714285714286,1.1951918601989746,0.674
92,0.8585185408592224,0.6357142857142857,1.1963531970977783,0.676
93,0.966521680355072,0.5928571428571429,1.2031257152557373,0.672
94,0.9450178146362305,0.6642857142857143,1.2108830213546753,0.664
95,0.984359085559845,0.5714285714285714,1.2159011363983154,0.662
96,0.8901930451393127,0.6428571428571429,1.211509108543396,0.666
