epoch,layer_1,layer_2,layer_3,layer_4,total_time
0,0.03810266354943023,0.022981985862202504,0.021083068262566538,0.020491181182510712,0.10265889885670998
1,0.03908009413848905,0.02349274351973744,0.021047228261390154,0.020750456480857205,0.10437052240047386
2,0.0389112847079249,0.023844668240669897,0.020997345903340507,0.020756291760241283,0.10450959061217659
3,0.03922040473888902,0.024006098870407132,0.021118983562816593,0.020833957683952416,0.10517944485606517
4,0.03904176945195478,0.023161562385366243,0.02088640002424226,0.020915162372676765,0.10400489423424006
5,0.039145073014147144,0.023637157665456043,0.021197778821429786,0.02078810352612944,0.10476811302716241
6,0.038915990665555,0.023573872951023717,0.021171425929402604,0.02088150589124245,0.10454279543722376
7,0.03892845173968988,0.023572178842390285,0.021141910598996807,0.020898974143406922,0.1045415153244839
8,0.03882518593879307,0.02354251296204679,0.021012254164499394,0.020837157677639932,0.10421711074297918
9,0.03957093651680385,0.023826070585671592,0.021113600023090838,0.021268404700300274,0.10577901182586658
10,0.03898273880867397,0.023652329403249656,0.021021176502108573,0.02117097413715194,0.10482721885118415
11,0.03860611767015036,0.023615397642202236,0.021266183559508885,0.020755651797003605,0.10424335066886507
12,0.03898285173756235,0.023441468225244212,0.020787463562891764,0.02114281413528849,0.10435459766098681
13,0.038687284746590785,0.023207755325471653,0.02085699767093448,0.020754597688860753,0.10350663543185767
14,0.03871311058016384,0.02386292705860208,0.021109195303391007,0.020906917674138267,0.1045921506162952
15,0.03903299763360444,0.023275745866053243,0.020983604723039794,0.020769581209649057,0.10406192943234653
16,0.03869025878169957,0.023272508262273145,0.021030437654870397,0.020710437692263547,0.10370364239110666
17,0.03899008008048815,0.02354970356559052,0.020897581196006605,0.020894418818985714,0.10433178366107099
18,0.03909161409472718,0.02373424940249499,0.020785430632531642,0.020958607052178942,0.10456990118193277
19,0.03870535524452434,0.023476479989202582,0.02097630119060769,0.020715670633841964,0.10387380705817659
20,0.03877323291757528,0.02339448472375379,0.020865505881169262,0.020925741204444098,0.10395896472694244
21,0.03870019768090809,0.02334388702231295,0.02102049886522924,0.020449430613833315,0.10351401418228359
22,0.038817807080991126,0.023503171781844953,0.020814155344577395,0.020647830544587444,0.10378296475200091
23,0.03902407525216832,0.023760602344923158,0.021187425845247857,0.020810691758113748,0.10478279520045307
24,0.038599491746110076,0.023325214125216008,0.021234710604390677,0.02055808002677034,0.1037174965024871
25,0.0388966023571351,0.02335058819721727,0.020876687061698998,0.020439755296444193,0.10356363291249555
26,0.038753656525822244,0.023280941193156383,0.020955331761609106,0.02074304001953672,0.10373296950012445
27,0.03867776003830573,0.02294136468321085,0.020829628221690655,0.020506277678205686,0.10295503062141292
28,0.038858240010107264,0.023306955298518433,0.020868668234085334,0.020502174093442804,0.10353603763615384
29,0.03884702117127531,0.023471284697161,0.02094042356180794,0.020651331763057147,0.1039100611933014
30,0.039326230576809715,0.02352417883627555,0.020990908270811334,0.020954804748077604,0.1047961224319742
31,0.0388130635899656,0.023576545870917686,0.020855002363815028,0.02044709648060448,0.1036917083053028
32,0.03846535525339491,0.023008112964384694,0.020494381187154968,0.020637967080316122,0.10260581648525069
33,0.03876295533688629,0.023434014107812852,0.021081336484674144,0.020420254146789805,0.10369856007616308
34,0.03856011297334643,0.023596687036402084,0.02067102119764861,0.02083471064181889,0.103662531849216
35,0.038808508195421275,0.02315139762180693,0.020873411777703202,0.020412950601209612,0.10324626819614101
36,0.039206023536184256,0.02364208943265326,0.02103145414415528,0.02070622113916804,0.10458578825216083
37,0.03895962347879129,0.023420498815967757,0.02097027767011348,0.02049946351962931,0.10384986348450184
38,0.039232376467655684,0.023621609427911392,0.021136150605538313,0.020601788261795744,0.10459192476290115
39,0.038179538863546705,0.023222701190149082,0.020649788239422966,0.020174418854362823,0.10222644714748158
40,0.0393363576448139,0.02352775525301695,0.020895698863793822,0.02093402355471078,0.10469383531633544
41,0.03898330352323897,0.02319551999516347,0.02079728942802724,0.020664282381972845,0.10364039532840252
42,0.03921705409884453,0.023425694116774726,0.021274503543972968,0.020621402355677942,0.10453865411527016
43,0.03909383531440707,0.023564385894466848,0.02062908235279953,0.020553411782226142,0.10384071534389959
44,0.038394014147274634,0.02326343528707238,0.020547538816052324,0.02040448001859819,0.10260946826899753
45,0.03837296945645529,0.023434880003333092,0.021128658816656647,0.02012671999633312,0.10306322827277814
46,0.038679680017864,0.023149402286199963,0.02058465885984547,0.020782155341961806,0.10319589650587123
47,0.038495435267686846,0.023288432962315923,0.02093229179873186,0.020139971794012716,0.10285613182274736
48,0.03909526584779515,0.02340566586045658,0.02073408002143397,0.02055024946875432,0.10378526119844002
49,0.039140065772568476,0.023945072941920338,0.021418089470004335,0.020302983524606508,0.10480621170909966
