epoch,train_loss,train_acc,val_loss,val_acc
1,1.8678002863311767,0.33326,1.4728037603378297,0.4642
2,1.246495406112671,0.5492,1.0451154276847838,0.6264
3,1.0243814778137208,0.635,1.1419674062728882,0.61
4,0.9013606915283203,0.68,0.9118043975830078,0.6823
5,0.8001759219169616,0.71984,0.7755976625442504,0.7268
6,0.7050507401466369,0.75386,0.7888829539299012,0.7285
7,0.6365725761032105,0.77964,0.7145924277305603,0.7637
8,0.5871786560821534,0.79754,0.6215647340774536,0.7922
9,0.5438714622116089,0.81204,0.5694028513431549,0.8102
10,0.5062738787841797,0.82538,0.5647840914726258,0.8123
11,0.4845698938179016,0.8332,0.5028933458328247,0.8301
12,0.44706011996269224,0.84646,0.625678249168396,0.7888
13,0.43380041909217837,0.85114,0.5271767408370972,0.8217
14,0.41297189843177795,0.85722,0.4757196448802948,0.8399
15,0.38534036218643186,0.8681,0.5384551474571228,0.8172
16,0.38502079614639284,0.86742,0.5133881253242493,0.8295
17,0.36604996808052065,0.87354,0.5251233700752258,0.8286
18,0.3467060350227356,0.88096,0.4443739914894104,0.8515
19,0.33997412468910215,0.88174,0.48718576674461367,0.8431
20,0.32480923636436465,0.88848,0.45945660400390625,0.8452
21,0.3148326892852783,0.89176,0.45500959005355834,0.8532
22,0.30288122425079345,0.89518,0.4405837170600891,0.8557
23,0.3001517064189911,0.89652,0.4184683533191681,0.8626
24,0.28645243470191956,0.9004,0.41830344285964965,0.8618
25,0.280515930147171,0.9021,0.5434749562263489,0.8244
26,0.27490045192718504,0.90426,0.40827933472394945,0.8616
27,0.26016965725898744,0.90974,0.4457771351099014,0.8521
28,0.25510936517715455,0.91088,0.44884249572753904,0.8604
29,0.24681053144454956,0.91346,0.4419826279163361,0.8621
30,0.24056013407707214,0.9156,0.47127906403541564,0.8481
31,0.23059027280807495,0.91902,0.45681443996429444,0.8525
32,0.22583819766521454,0.9216,0.4713412587165833,0.8552
33,0.22157768496990204,0.92304,0.3896142610549927,0.8763
34,0.20883654853820802,0.92746,0.4407164196014404,0.8612
35,0.2059580011177063,0.92724,0.40517728514671325,0.8747
36,0.2019863533782959,0.92894,0.4023749565124512,0.8723
37,0.19419425169467927,0.93118,0.39536571569442747,0.8711
38,0.18584465164661407,0.93492,0.379669158744812,0.8839
39,0.1799455155134201,0.93608,0.4515707578659058,0.8675
40,0.17103691085815428,0.94008,0.3982008623123169,0.8795
41,0.16849156850337982,0.94084,0.38460365638732913,0.882
42,0.15750999300003052,0.94444,0.4371065927505493,0.8742
43,0.15465579040527344,0.94556,0.438919983625412,0.8762
44,0.14941026964664458,0.9476,0.456710094165802,0.8711
45,0.1487235280418396,0.9484,0.4093479340553284,0.8818
46,0.1325920042181015,0.95288,0.4526964364349842,0.8732
47,0.12877003891706468,0.95512,0.38600596284866334,0.8893
48,0.12043722554206848,0.95784,0.39976344876289366,0.8896
49,0.1205493287539482,0.95762,0.38119714293479917,0.889
50,0.10931105768203736,0.96188,0.40041088790893553,0.8842
51,0.10703449828624725,0.96178,0.4128332723617554,0.887
52,0.10544070093393326,0.96246,0.42885685729980466,0.8852
53,0.09893815774440766,0.96476,0.38904484357833863,0.8912
54,0.09050118577241897,0.96854,0.38490543966293334,0.8977
55,0.08221064118623733,0.97104,0.3999195913314819,0.8974
56,0.07883599251031875,0.97208,0.41767227230072024,0.8941
57,0.07311877749800683,0.97422,0.3896752513408661,0.8986
58,0.06692307417631149,0.9764,0.3859582931518555,0.8987
59,0.06215808652758598,0.97804,0.41361507816314697,0.9021
60,0.06121980022668839,0.97872,0.4146788987159729,0.8964
61,0.052146861051321027,0.98134,0.4363255537033081,0.8933
62,0.05089495326161385,0.98238,0.4026129620552063,0.9023
63,0.041285655633807185,0.98568,0.3962841078281403,0.9051
64,0.043228703820705414,0.98516,0.4168482030391693,0.9039
65,0.03792112595915794,0.98666,0.44598133217394353,0.896
66,0.03344989877462387,0.98848,0.42366816725730894,0.9062
67,0.030922206544280052,0.9896,0.39006533203125,0.9104
68,0.026335182290673255,0.99074,0.4110616768836975,0.9098
69,0.025338776756227015,0.99134,0.4062725227355957,0.9144
70,0.02075434898018837,0.9933,0.4134552586555481,0.9113
71,0.01808117806211114,0.99384,0.4052948073387146,0.9137
72,0.01625211092174053,0.9945,0.40931933212280275,0.914
73,0.013556191260814667,0.99534,0.41265297966003417,0.9129
74,0.013810167805105448,0.99552,0.41653303565979005,0.9129
75,0.011033661846220493,0.99662,0.411977382850647,0.915
76,0.009896638084920124,0.99718,0.4188352912902832,0.9163
77,0.008468274453766644,0.99748,0.42306748180389403,0.9138
78,0.009361122715249658,0.99722,0.41827912702560427,0.9172
79,0.007806834198161959,0.99774,0.4216456684112549,0.9162
80,0.0071920440791547295,0.99766,0.415333705329895,0.9184
81,0.0068698559981584546,0.99804,0.41739291429519654,0.9195
82,0.0055085136967152355,0.99858,0.4162948986053467,0.918
83,0.006109864415191114,0.9983,0.4176625354766846,0.9192
84,0.005179365023113787,0.99846,0.4156009063720703,0.919
85,0.005334138227589429,0.99852,0.41295301551818847,0.9207
86,0.004502986449636519,0.99874,0.41547712507247925,0.9208
87,0.003904208526350558,0.99914,0.4138505126953125,0.9208
88,0.004612062717750669,0.99874,0.4142802122116089,0.9201
89,0.003957082629539073,0.9988,0.41548358192443846,0.9205
90,0.004651905347891152,0.9986,0.4171903011322021,0.9203
