epoch,main_activation,layer1_block0_activation1,layer1_block0_activation2,layer1_block1_activation1,layer1_block1_activation2,layer2_block0_activation1,layer2_block0_activation2,layer2_block1_activation1,layer2_block1_activation2,layer3_block0_activation1,layer3_block0_activation2,layer3_block1_activation1,layer3_block1_activation2,layer4_block0_activation1,layer4_block0_activation2,layer4_block1_activation1,layer4_block1_activation2,total_time
1,0.04219969348942346,0.03792217887066146,0.034018791506582116,0.03548800000088646,0.031723370193008416,0.03230706382780633,0.031267336244754335,0.031190127712932038,0.030052902077899336,0.029047693591564894,0.027833191483737307,0.026206842578075668,0.025923812718308986,0.02406767657066279,0.024888238295952374,0.02240789779560997,0.024143523429619507,0.5106883403874855
2,0.035199251006099774,0.03081545530560803,0.0290374127315714,0.02651697029855023,0.028137804286435565,0.028524391527505633,0.026890825476259626,0.027795812776906695,0.027457634074256776,0.025473565960976673,0.028320476610926872,0.028575795807657723,0.029763472369535172,0.026676970220943716,0.030047931918438443,0.02741045113355714,0.02960748938308593,0.48625171088831537
3,0.045693889113658286,0.03533909787285201,0.028929429715301127,0.027671285044956716,0.026466791470475655,0.026153872372146617,0.02781977870679916,0.026162587280603167,0.02629882550620018,0.026818110587749074,0.02971942113870953,0.025318331865871208,0.025995846722829848,0.03977497875333783,0.02601797445479067,0.030170008508448906,0.026191114846299938,0.5005413439610299
4,0.046189480603850905,0.04477194901159469,0.041728272435671475,0.04153518301850938,0.04073538724729355,0.03780704686774852,0.0379182978513393,0.035943489331514276,0.03733787237805255,0.03184217880579068,0.029693685162891732,0.027699268089131788,0.026078433995234206,0.024400817042097768,0.02469385526182645,0.024172936188691155,0.025081123389858514,0.577629276681097
5,0.04362559997417191,0.0373741616514769,0.0364754383313529,0.03383863818177835,0.031965208546991676,0.03325160851583202,0.033181685221163514,0.0343454638535672,0.030753497822963178,0.027763608551802155,0.02667942122021254,0.024110706372463958,0.024251506408240565,0.02245794042469339,0.022543319140342955,0.021681021302542153,0.02436527659264492,0.5086641021122403
6,0.036694195854695556,0.031164731980955346,0.030369770146430806,0.029296136175856944,0.03027145528095834,0.02998454460993092,0.02888000001536405,0.028511999947752092,0.028666280760885555,0.02710856162903315,0.026984987239492067,0.025949753243277997,0.025395200027034003,0.024348187191966682,0.02520061272513518,0.024023625503313984,0.025690825492579568,0.47854086782466226
7,0.043632953324692046,0.03906655319510622,0.04149868938913371,0.03705184688752002,0.035800102261945285,0.032856714864202004,0.03478161699752858,0.0352250552696592,0.03195431489259639,0.02711366810043283,0.026400340405946715,0.02364684257933751,0.023174604288044763,0.02247564255834577,0.023133957415739908,0.023990876591229376,0.025174740472055496,0.5269785194935158
8,0.04763336166977248,0.03684364259639319,0.03471870644691777,0.03356221267913884,0.03619499578279384,0.03019342980089974,0.030526161657527407,0.031044425518113247,0.029255148930911055,0.02983748086906494,0.029294842545022355,0.029499234053048683,0.027195506364582702,0.026348595707578228,0.02664946380982849,0.02739485971173866,0.02628704681893454,0.5324791149622662
9,0.06095169358985855,0.05065879153602935,0.044075302129730265,0.04400837447177222,0.03756949791803639,0.0405737531549753,0.03552939570806128,0.036791557418380645,0.035246910709649956,0.03949160860613623,0.034773174491017425,0.0328586213112353,0.03471053617986593,0.030460527684896235,0.031410655260403104,0.030646672354456277,0.031120817008566982,0.6508778895330715
10,0.049901616910195096,0.03850042551280336,0.0351955064314794,0.0333514213205335,0.03647931906929676,0.03692044253124201,0.03545096163102921,0.04507172736240194,0.02922417021733015,0.03183162551016567,0.03278386384010949,0.029860425467028263,0.030679965962437872,0.027636902171008764,0.028420902139685573,0.0265164255501425,0.02922512338140068,0.5770508250082902
