epoch,layer_1,layer_2,layer_3,layer_4,total_time
0,0.03873498353011468,0.022782870588057183,0.02098951529711485,0.02108280476401834,0.10359017417930505
1,0.03848286116386161,0.02337660234202357,0.02116800005602486,0.02089867293396417,0.1039261364958742
2,0.038562559993828044,0.02279913415584494,0.021005440019071103,0.020966738806489638,0.10333387297523372
3,0.038909816500895165,0.023085327071740346,0.021214870624244212,0.020723312950747856,0.10393332714762757
4,0.0388397553519291,0.023105430587687912,0.021444178808699636,0.020937524733736234,0.10432688948205289
5,0.03861052233506652,0.023334550585816887,0.021062889425631833,0.020419162360622602,0.10342712470713784
6,0.03832986357895767,0.022632997636409368,0.02091041883563294,0.020959962382912634,0.1028332424339126
7,0.03844438589671079,0.023032922319629612,0.021207454110331394,0.02067836234893869,0.10336312467561048
8,0.0382418447250829,0.02276796237729928,0.020871868251877673,0.020723952960003823,0.10260562831426367
9,0.03812604235813898,0.022698240010615656,0.020744432991041856,0.020211614135871914,0.10178032949566841
10,0.03771414585192414,0.022597044680048438,0.020692254142726168,0.020342399997307973,0.10134584467200672
11,0.03778842359342996,0.022878192873562082,0.021065675337963243,0.02033509648459799,0.10206738828955328
12,0.037826672910767446,0.02261556705350385,0.021030663503881764,0.02038083769600181,0.10185374116415487
13,0.03784180703408578,0.02221737408243558,0.020616734150577996,0.020468178834108744,0.1011440941012081
14,0.03782505417133079,0.02249886117875576,0.020614437664694646,0.020370898825280807,0.10130925184006201
15,0.038173778819687226,0.022901496413876028,0.02081012706765357,0.020214588243295164,0.10209999054451199
16,0.03867606595158577,0.023079981174977386,0.021225185944315265,0.02042695530635469,0.10340818837723312
17,0.038696583553272136,0.022653552944607594,0.020854136503356345,0.020329298815306495,0.10253357181654257
18,0.03808063998818398,0.022628178863840945,0.020788668234120396,0.020760960039847037,0.10225844712599236
19,0.038293496493030994,0.02254042350632303,0.020881468221983487,0.020314315298900886,0.1020297035202384
20,0.03838795294656473,0.022852178851471228,0.021262870619402213,0.02055800475180149,0.10306100716923966
21,0.03818044240422109,0.0226587858533158,0.02088022589245263,0.020377374184043968,0.10209682833403348
22,0.03851459767012035,0.022941967064843458,0.02099102118436028,0.020973703547873916,0.103421289467198
23,0.0383527152459411,0.022784301176228944,0.020762654144097777,0.020384301172898096,0.10228397173916592
24,0.03856124237179756,0.022762955291306272,0.020854776512612316,0.02067862591980135,0.1028576000955175
25,0.03815401415614521,0.022854701166643815,0.0210763294249773,0.020224188235314453,0.10230923298308077
26,0.037845345932771175,0.022239548261551296,0.020646927098140998,0.02044487530256019,0.10117669659502367
27,0.03836126121089739,0.02271168001653517,0.021031567075235003,0.02048304946764427,0.10258755777031184
28,0.03824832000276621,0.022780047043719713,0.021038080030942666,0.020912865904324195,0.10297931298175278
29,0.03867324235246462,0.0228037270005135,0.021004574132316253,0.020519378794466747,0.10300092227976111
30,0.03861082355765735,0.02248323768377304,0.02083971765330609,0.020394842370468028,0.10232862126520452
31,0.038830381123458636,0.02318689881440471,0.021340912942062407,0.02093274354496423,0.10429093642488999
32,0.03835858825375052,0.022943585863446487,0.020939369422986225,0.0206062682367423,0.10284781177692554
33,0.038590908234610276,0.023389364706681057,0.021756498850882055,0.02065780709114145,0.10439457888331483
34,0.038679755295024196,0.022776470611638882,0.021055548232706153,0.020698955337352613,0.10321072947672184
35,0.038211614103878244,0.022529995288042462,0.02118362354881623,0.020613948251394665,0.1025391811921316
36,0.03831472942934317,0.022819425906328593,0.020902851754251647,0.020451689454562525,0.10248869654448593
37,0.03921607532045421,0.02319649882395478,0.021151021175524767,0.020315520005191073,0.10387911532512482
38,0.038622230571859026,0.02274895059492658,0.02069040944471079,0.02089261179242064,0.10295420240391703
39,0.0381839812152526,0.022815736446748763,0.02079009880695273,0.02043625412399278,0.10222607059294687
40,0.03825287533595281,0.02256873414358672,0.02088365176363903,0.020892912962419144,0.1025981742055977
41,0.03855160463820485,0.02261722356957548,0.020918851801577737,0.020671171787030557,0.10275885179638862
42,0.03807491768808926,0.022732498840812375,0.020935717663344216,0.020560978824163183,0.10230411301640904
43,0.038718456450630635,0.02289155766587047,0.021133967094561633,0.020798682368853513,0.10354266357991626
44,0.03839973641669049,0.022805609409423437,0.020929430574178697,0.0207568940958556,0.10289167049614822
45,0.03841351534075597,0.022756668206523445,0.021031604726963183,0.02043252705651171,0.10263431533075432
46,0.03877289415282362,0.023063416443765163,0.02129558590185993,0.020978334140689933,0.10411023063913864
47,0.03859617877970724,0.02261481410878546,0.02079732707099003,0.020866221193881596,0.10287454115336434
48,0.03875546350636903,0.023564348236164625,0.02126034826697672,0.020620950613828265,0.10420111062333863
49,0.03879356229568229,0.022974757690201787,0.02111231999362216,0.02049246119444861,0.10337310117395485
